no,tango,kana,en,zh,vi
0001,アイデンティティー,,Identity,自我认知,"danh tính, nhân dạng"
0002,悪,あく,Evil,邪恶,cái ác
0003,悪用,あくよう,Abuse,滥用,lợi dụng
0004,味わい,あじわい,"Taste, flavor",味道、风味,vị
0005,あっせん,,"Introduce, arrange",介绍,"làm trung gian, giới thiệu"
0006,圧倒,あっとう,Overwhelm,压倒、凌驾,áp đảo
0007,圧迫,あっぱく,Exert pressure,压迫,"áp bức, đè nén"
0008,当て,あて,"Expectation, hopes",指望、期待,sự kỳ vọng
0009,後回し,あとまわし,Putting off (till later),推迟、缓办,sự trì hoãn
0010,アナログ,,Analogue,模拟,(thuật ngữ kỹ thuật) thứ tương tự / (đồng hồ) chạy kim
0011,アピール,,"Showcase, highlight",呼吁,"thể hiện, bộc lộ"
0012,アプローチ,,Approach,通道；探讨、研究,lối vào / tiếp cận
0013,アポ（アポイントメント）,,Appointment,约会、预约,cuộc hẹn
0014,ありさま,,Circumstances,样子、情况,"tình trạng, trạng thái"
0015,ありのまま,,As things stand,如实的、实事求是的,"nguyên trạng, sự chân thực, sự thẳng thắn"
0016,暗示,あんじ,"Imply, hint at",暗示,"ám chỉ, gợi ý"
0017,安否,あんぴ,Safety or health status,平安与否、安危,sự an nguy
0018,意義,いぎ,"Significance, meaning",意义,ý nghĩa
0019,異議,いぎ,Objection,异议,"sự phản đối, sự kháng nghị"
0020,勢い,いきおい,Momentum,气势,"sức mạnh / sức sống, năng lượng"
0021,行き違い,いきちがい,"Failing to meet up with, missing rendezvous",走岔,"bị lỡ mất, không gặp được / sự khác biệt"
0022,意向,いこう,Intention,意向、意图,"ý định, ý tưởng, mong muốn"
0023,移行,いこう,Shift,过渡、转变,chuyển đổi
0024,維持,いじ,Maintain,维持,duy trì
0025,移住,いじゅう,"Emigrate, move",移居,"di cư, chuyển đi"
0026,依存,いそん/いぞん,Depend,依赖,lệ thuộc
0027,一連,いちれん,A series of,一连串、一系列,"một loạt, một chuỗi"
0028,一括,いっかつ,"(Pay in) a lump sum, lump together",总括一起、一次性,gộp lại
0029,一変,いっぺん,Change completely,完全改变,thay đổi hoàn toàn
0030,意図,いと,"Intend, aim",意图,"có ý muốn, hướng tới"
0031,委任,いにん,"Delegate, entrust",委托,ủy quyền
0032,威力,いりょく,"Power, effect",威力、威慑力,"uy lực, sức mạnh"
0033,違和感,いわかん,"Unease, discomfort",不协调感、异样的感觉,"cảm giác lạ lùng, thấy không hợp"
0034,インフォメーション,,Information,问讯处、咨询台,"quầy thông tin, bàn tiếp tân"
0035,ウエート,,"Weight, weighting",重点,"sức nặng, tầm quan trọng"
0036,内訳,うちわけ,Breakdown,明细、详情,chi tiết
0037,腕前,うでまえ,Skills,本事、手艺,"năng lực, trình độ"
0038,裏返し,うらがえし,Turning inside out,表里调换、反过来,sự lật ngược
0039,運営,うんえい,"Arrange, run",运筹管理、组织,"tổ chức, điều hành"
0040,運搬,うんぱん,"Transport, carry",搬运,vận chuyển
0041,運用,うんよう,Operate; invest,运用、活用,"vận dụng, áp dụng"
0042,栄光,えいこう,Glory,光荣,"sự huy hoàng, sự vinh quang"
0043,エスカレート,,Escalate,逐步升级、激化,"tăng cấp, leo thang"
0044,応急,おうきゅう,Emergency,应急,"khẩn cấp, tạm thời"
0045,黄金,おうごん,Gold,黄金,(bằng) vàng
0046,応答,おうとう,Respond,应答、回应,trả lời
0047,大筋,おおすじ,Key aspects,要点、主要内容,"đại thể, đại cương"
0048,公,おおやけ,Public,公开,"công chúng, công cộng"
0049,おのおの,,Each,各自、自身,"ai nấy, mỗi người"
0050,趣,おもむき,"Charm, taste",情趣、风趣,"dáng vẻ, vẻ đẹp"
0051,おり,,"Cage, pen",笼子,cái chuồng
0052,おわび,,Apology,道歉,sự tạ lỗi
0053,恩恵,おんけい,"Benefit, boon",恩惠、好处,"lợi ích, ân huệ"
