no,tango,kana,en,zh,vi
0001,愛,あい,love,爱,tình yêu
0002,愛情,あいじょう,affection,爱，感情,"tình yêu thương, tình cảm"
0003,アイデア/アイディア,,idea,主意,"ý tưởng, sáng kiến"
0004,握手,あくしゅ,handshake,握手,bắt tay
0005,アクセス,,access,连接，访问,truy cập
0006,アクセント,,accent,重音，声调,trọng âm
0007,あちらこちら,,here and there,到处，处处,"khắp nơi, đây đó, chỗ này chỗ kia"
0008,集まり,あつまり,gathering,集会，汇合,"sự tập trung, tập hợp, buổi gặp mặt"
0009,宛名,あてな,address,收件人姓名（住址）,"tên, địa chỉ người nhận"
0010,後片付け,あとかたづけ,"cleanup, clearing away",事后整理,dọn dẹp
0011,アドバイス,,advice,建议,lời khuyên
0012,穴,あな,hole,孔，洞,"hố, lỗ, lỗ thủng"
0013,余り,あまり,"leftover, remainder",剩余的，多余的,"thừa, dư"
0014,アンケート,,"questionnaire, survey",问卷调查,"bản điều tra, phiếu điều tra"
0015,いたずら,,mischief,（搞）恶作剧,nghịch ngợm
0016,一部,いちぶ,part,一部分,một phần
0017,一瞬,いっしゅん,a moment/second,一瞬间,"khoảnh khắc, trong nháy mắt"
0018,違反,いはん,"breach, violation",违反,vi phạm
0019,イベント,,event,活动,sự kiện
0020,イメージ,,image,形象，印象，产生了……印象,"hình ảnh, hình dung, ấn tượng"
0021,印刷,いんさつ,print,印刷,"in ấn, in"
0022,印象,いんしょう,impression,印象,ấn tượng
0023,インタビュー,,interview,采访,phỏng vấn
0024,うそ,,lie,谎话,"nói dối, dối trá"
0025,内側,うちがわ,inside,内侧,phía bên trong
0026,エアメール,,airmail,航空邮件,đường hàng không
0027,影響,えいきょう,influence,影响,ảnh hưởng
0028,営業,えいぎょう,"business operation, sales",营业,"kinh doanh, mở cửa"
0029,エコ（エコロジー）,,eco (ecology),环保,sinh thái học
0030,エネルギー,,energy,能源,năng lượng
0031,オイル,,oil,油，石油,"dầu, dầu mỡ"
0032,（お）祝い,（お）いわい,"celebration, (congratulatory) gift",祝贺（礼物）,"lời chúc, quà chúc mừng"
0033,応援,おうえん,"support, cheer",加油，助威,"cổ vũ, cổ động"
0034,大型,おおがた,large size,大型,"cỡ to, loại to"
0035,オーケー,,"okay, fine",可以，答应,"đồng ý, ok"
0036,おじぎ,,bow,鞠躬，行礼,sự cúi chào
0037,おしゃべり,,chat,聊天,"tán gẫu, buôn chuyện"
0038,落とし物,おとしもの,lost property,遗失的东西,đồ đánh rơi
0039,思い出,おもいで,memory,回忆,kỉ niệm
0040,オリンピック,,Olympics,奥运会,olympic
0041,カード,,"card, credit card",卡,thẻ
0042,開会,かいかい,opening of a meeting,开会,khai mạc
0043,解決,かいけつ,"solution, settlement",解决,giải quyết
0044,外出,がいしゅつ,going out,外出,đi ra ngoài
0045,改正,かいせい,"revision, amendment",修改，修正,"sửa chữa, sửa đổi"
0046,解説,かいせつ,explanation,解说,giải thích
0047,回転,かいてん,"revolving, spin",旋转,"xoay vòng, quay vòng"
0048,ガイドブック,,guidebook,旅行指南,sách hướng dẫn du lịch
0049,書留,かきとめ,registered mail,挂号信,gửi đảm bảo
0050,拡大,かくだい,"enlargement, expansion",扩大,"khuếch đại, phóng to"
0051,家事,かじ,housework,家务,việc nhà
0052,貸し出し,かしだし,lending,借出,cho mượn
0053,数,かず,number,数量,"số, lượng"
0054,型,かた,"model, design, type",形状,"kiểu, kiểu dáng"
0055,片方,かたほう,"one of two, one side",一方，一只,"1 bên, một phía, một chiếc"
