no,tango,kana,en,zh,vi
0001,挨拶,あいさつ,greet,打招呼,chào hỏi
0002,返事,へんじ,"answer, reply",回复、回答,trả lời
0003,会話,かいわ,"converse, talk",交谈,nói chuyện
0004,自己紹介,じこしょうかい,self-introduce,做自我介绍,tự giới thiệu
0005,紹介,しょうかい,"introduce, present",介绍,giới thiệu
0006,招待,しょうたい,invite,邀请,mời
0007,約束,やくそく,promise,约定,hứa
0008,デート,,date,约会,hẹn hò
0009,結婚式,けっこんしき,wedding ceremony,婚礼,lễ kết hôn
0010,プレゼント,,give a present,送礼物,tặng quà
0011,贈り物,おくりもの,gift,礼物,quà tặng
0012,（お）祝い,（お）いわい,celebration,庆祝,sự ăn mừng
0013,お礼,おれい,thanks,感谢,sự cảm ơn
0014,相談,そうだん,consult,请教、商量,nhờ tư vấn
0015,アドバイス,,advise,提建议,cho lời khuyên
0016,注意,ちゅうい①,warn,提醒,nhắc nhở
0017,競争,きょうそう,compete,竞争,thi đua
0018,けんか,,"fight, quarrel",吵架、打架,"đánh nhau, cãi nhau"
0019,うそ,,lie,谎话,lời nói dối
0020,いじめ,,bullying,欺凌,sự bắt nạt
0021,夫,おっと,my husband,我的丈夫,chồng mình
0022,妻,つま,my wife,我的妻子,vợ mình
0023,（ご）主人,（ご）しゅじん,husband,男主人,chồng người khác
0024,パパ,,daddy,爸爸,ba
0025,ママ,,mummy,妈妈,mẹ
0026,子,こ,child,孩子,"con, đứa trẻ"
0027,息子（さん）,むすこ（さん）,son,儿子,con trai
0028,娘（さん）,むすめ（さん）,daughter,女儿,con gái
0029,祖父,そふ,my grandfather,我的爷爷、姥爷,ông mình
0030,祖母,そぼ,my grandmother,我的奶奶、姥姥,bà mình
0031,おじ（さん）,,uncle,伯伯、叔叔、舅舅,"chú, bác (trong gia đình)"
0032,おば（さん）,,aunt,姑妈、姨妈,"cô, dì (trong gia đình)"
0033,赤ちゃん,あかちゃん,baby,小宝宝,em bé
0034,赤ん坊,あかんぼう,baby,婴儿,trẻ sơ sinh
0035,大人,おとな,adult,成年人,người lớn
0036,おじさん,,middle-aged man,叔叔,"chú, bác (người quen)"
0037,おばさん,,middle-aged woman,阿姨,"cô, dì (người quen)"
0038,お年寄り,おとしより,elderly person,老年人,người lớn tuổi
0039,先輩,せんぱい,senior,前辈,tiền bối
0040,客,きゃく,guest / customer,访客；顾客,khách
0041,（お）金持ち,（お）かねもち,rich person,有钱人,người giàu có
0042,人々,ひとびと,people,人们,người (số nhiều)
0043,男性,だんせい,male,男性,nam giới
0044,女性,じょせい,female,女性,nữ giới
0045,男女,だんじょ,men and women,男女,nam và nữ
0046,彼,かれ,he / boyfriend,他；男朋友,từ chỉ người nam ngôi thứ 3 / bạn trai
0047,彼女,かのじょ,she / girlfriend,她；女朋友,từ chỉ người nữ ngôi thứ 3 / bạn gái
0048,彼ら,かれら,they,他们,họ
0049,君,きみ,you,你,từ chỉ ngôi thứ 2
0050,僕,ぼく,I,我,từ chỉ mình
0051,皆,みな,everyone,各位,mọi người
0052,日,ひ①,day,天,ngày
0053,午前中,ごぜんちゅう,morning,上午,buổi sáng
0054,昼間,ひるま,daytime,白天,ban ngày
0055,今夜,こんや,this evening,今晚,đêm nay
0056,ゆうべ,,last night,昨晚,tối hôm qua
0057,明日,あす,tomorrow,明天,ngày mai
0058,週末,しゅうまつ,weekend,周末,cuối tuần
0059,再来週,さらいしゅう,the week after next,下下周,tuần sau nữa
0060,再来月,さらいげつ,the month after next,下下个月,tháng sau nữa
0061,半年,はんとし,half a year,半年,nửa năm
0062,将来,しょうらい,future,将来,tương lai
0063,久しぶり,ひさしぶり,after a long time,隔了很久,lâu rồi mới
0064,昔,むかし,the old days,以前,ngày xưa
0065,時代,じだい,"time, period",时代,thời đại
0066,先,さき,ahead,先,trước
0067,最初,さいしょ,"beginning, first",一开始,đầu tiên
0068,最後,さいご,last,最后,cuối cùng
0069,終わり,おわり,end,结束,"cuối, kết"
0070,交通,こうつう,transportation,交通,giao thông
0071,乗り物,のりもの,vehicle,交通工具,phương tiện giao thông
0072,新幹線,しんかんせん,bullet train,新干线,tàu siêu tốc
0073,チケット,,ticket,票,vé
0074,バイク,,motorbike,摩托车,xe máy
0075,運転,うんてん,drive,驾驶,lái
0076,バック,,back,后退,lùi lại
0077,ガソリン,,"gasoline, petrol",汽油,xăng
0078,乗り場,のりば,"stand, stop",搭乘交通工具的地点,chỗ đón xe
0079,空港,くうこう,airport,机场,sân bay
0080,港,みなと,port,港口,cảng
0081,船,ふね,"ship, boat",船,"tàu, thuyền"
0082,アクセス,,access,地理位置上的便利性,"sự đến gần, sự lui tới"
0083,出発,しゅっぱつ,depart,出发,xuất phát
0084,帰国,きこく,return to one’s country,回国,về nước
0085,一時帰国,いちじきこく,return temporarily to one’s country,临时回国,về nước một thời gian
0086,行き,いき,going,去程,"sự đi, đường đi"
0087,帰り,かえり,return,返程,"sự về, đường về"
0088,途中,とちゅう,on the way,中途,trên đường
0089,各駅停車,かくえきていしゃ,local train,各站停车的列车,tàu dừng mỗi ga
0090,急行,きゅうこう,express,快车,tàu nhanh
0091,特急,とっきゅう,limited express,特快车,tàu tốc hành
0092,アジア,,Asia,亚洲,châu Á
0093,アフリカ,,Africa,非洲,châu Phi
0094,アメリカ,,America,美洲,châu Mỹ
0095,ヨーロッパ,,Europe,欧洲,châu Âu
0096,北海道,ほっかいどう,,,
0097,四国,しこく,,,
0098,九州,きゅうしゅう,,,
0099,沖縄,おきなわ,,,
0100,東京,とうきょう,,,
0101,横浜,よこはま,,,
0102,名古屋,なごや,,,
0103,大阪,おおさか,,,
0104,京都,きょうと,,,
0105,広島,ひろしま,,,
0106,長崎,ながさき,,,
0107,富士山,ふじさん,Mt. Fuji,富士山,núi Phú Sĩ
0108,体,からだ,body,身体,cơ thể
