#separator:comma
#deck column:18
1,たった今,たったいま,たった今[いま],副,just (now),刚才,電車[でんしゃ]はたった 今[いま] 出[で]たところです。,电车刚刚开走。,,,[sound:JLPT_TangoN4_Word_1.mp3],[sound:JLPT_TangoN4_Sentence_1.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
2,今にも,いまにも,今[いま]にも,副,"at any time, at any moment",马上，眼看,空[そら]が 暗[くら]くなって、 今[いま]にも 雨[あめ]が 降[ふ]りそうです。,天色变暗，眼看就要下雨了。,,,[sound:JLPT_TangoN4_Word_2.mp3],[sound:JLPT_TangoN4_Sentence_2.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
3,もうすぐ,もうすぐ,もうすぐ,副,soon,快要，马上,今[いま]11[じゅういち] 時半[じはん]。もうすぐランチの 時間[じかん]です。,现在是11点半。快到午饭时间了。,,,[sound:JLPT_TangoN4_Word_3.mp3],[sound:JLPT_TangoN4_Sentence_3.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
4,さっき,さっき,さっき,副,"just now, a while ago",刚才,"A「 山下[やました]さんは？」
B「 山下[やました]さんなら、さっき 帰[かえ]りましたよ。」","A：山下呢？
B：山下刚才回去了。",,,[sound:JLPT_TangoN4_Word_4.mp3],[sound:JLPT_TangoN4_Sentence_4.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
5,このごろ,このごろ,このごろ,名,"recently, these days",近来，现在,このごろ、 寒[さむ]い 日[ひ]が 多[おお]いですね。,最近好多天都很冷呢。,,描述一种状态，而非动作。,[sound:JLPT_TangoN4_Word_5.mp3],[sound:JLPT_TangoN4_Sentence_5.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
6,最近,さいきん,最近[さいきん],名,recently,最近,最近[さいきん]、スペイン 語[ご]を 勉強[べんきょう]しています。,我最近在学习西班牙语。,,可描述动作，也可描述状态。,[sound:JLPT_TangoN4_Word_6.mp3],[sound:JLPT_TangoN4_Sentence_6.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
7,この間,このあいだ,この間[あいだ],名,just a while ago,最近，前些天,"A「 田中[たなか]さんは 元気[げんき]ですか。」
B「ええ。この 間[あいだ] 会[あ]いましたよ。」","A：田中好吗？
B：嗯，前几天我见到他了。",,,[sound:JLPT_TangoN4_Word_7.mp3],[sound:JLPT_TangoN4_Sentence_7.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
8,今度,こんど,今度[こんど],名,this time; next time,这次；下次,"① 今度[こんど]のテストはとてもむずかしかった。
②A「 今度[こんど]、お 酒[さけ]を 飲[の]みに 行[い]きましょう。」
  B「ええ、ぜひ。」","①这次考试非常难。
②A：下次一起去喝酒吧。
  B：嗯，一定。",,①这次或现在；②下次，下回,[sound:JLPT_TangoN4_Word_8.mp3],[sound:JLPT_TangoN4_Sentence_8.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
9,いつでも,いつでも,いつでも,副,any time,随时,"A「 食事[しょくじ]するなら、いつがいいですか。」
B「 私[わたし]はいつでもいいですよ。」","A：要是吃饭的话，什么时间合适呢？
B：我随时都可以。",,,[sound:JLPT_TangoN4_Word_9.mp3],[sound:JLPT_TangoN4_Sentence_9.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
10,いつか,いつか,いつか,副,"some time, some day",（总）有一天，迟早,いつか 家族[かぞく]で 世界旅行[せかいりょこう]をしたいです。,我希望有一天，全家人一起去环球旅行。,,,[sound:JLPT_TangoN4_Word_10.mp3],[sound:JLPT_TangoN4_Sentence_10.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
11,しょうらい,しょうらい,しょうらい,名,future,将来,しょうらい、 医者[いしゃ]になりたいと 思[おも]っています。,将来我想当医生。,＋未来[み らい] future / 未来,“しょうらい”用于个人，“未来”用于更大的范围，如国家、地球等。,[sound:JLPT_TangoN4_Word_11.mp3],[sound:JLPT_TangoN4_Sentence_11.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
12,むかし,むかし,むかし,名,"past, a long time ago",从前,むかし、ここは 海[うみ]でした。,从前，这里是大海。,"＋むかし 話[ばなし] folk tale, legend / 传说",,[sound:JLPT_TangoN4_Word_12.mp3],[sound:JLPT_TangoN4_Sentence_12.mp3],1,1,私たちの毎日,時間,万词对策::N4级 1500::Chapter 01 私たちの毎日::Section 1 時間
